name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Maupay,BHA,FWD,6.5,Available,2508,105,12,3.2,2.0
Trossard,BHA,MID,6.5,Available,2602,132,15,3.8,1.6
Ryan,BHA,GKP,4.5,NotAvail,1260,37,0,2.6,0.3
Jahanbakhsh,BHA,MID,5.5,NotAvail,520,24,0,1.1,0.1
White,BHA,DEF,4.5,Available,3192,104,5,2.9,14.0
Bernardo,BHA,DEF,4.0,NotAvail,0,0,0,0.0,0.2
Sánchez,BHA,GKP,4.5,Available,2430,101,8,3.7,25.3
Bissouma,BHA,MID,4.5,Available,3112,77,2,2.1,15.1
Lamptey,BHA,DEF,4.5,Doubtful,887,35,2,3.2,12.9
Connolly,BHA,FWD,5.5,Available,783,38,2,2.2,0.2
Alzate,BHA,MID,5.0,Available,892,35,3,2.3,0.1
Mac Allister,BHA,MID,5.5,Available,1108,48,3,2.3,0.1
Moder,BHA,MID,4.5,Available,643,21,0,1.8,0.3
Welbeck,BHA,FWD,6.0,Available,1541,89,15,3.7,2.3
Mwepu,BHA,MID,6.0,Available,0,0,0,0.0,0.2
Scherpen,BHA,GKP,4.5,Available,0,0,0,0.0,0.1
Tarkowski,BUR,DEF,5.0,Available,3240,109,9,3.0,1.4
Bardsley,BUR,DEF,4.0,Available,273,2,0,0.5,1.0
Pieters,BUR,DEF,4.5,Available,1260,50,5,2.5,0.3
Cork,BUR,MID,4.5,Available,1350,33,0,2.1,0.1
Stephens,BUR,MID,4.5,Available,257,8,0,1.1,0.1
Long,BUR,DEF,4.0,Available,636,14,1,1.8,1.4
Rodriguez,BUR,FWD,5.5,Available,1248,54,2,1.7,0.7
Barnes,BUR,FWD,5.5,Available,1324,52,7,2.4,1.7
Mee,BUR,DEF,5.0,Available,2693,102,7,3.4,0.9
Westwood,BUR,MID,5.5,Available,3410,112,5,2.9,0.7
Gudmundsson,BUR,MID,5.5,Available,1358,50,3,2.3,0.1
Wood,BUR,FWD,7.0,Available,2741,138,16,4.2,2.8
Lowton,BUR,DEF,4.5,Available,3060,103,6,3.0,3.1
Vydra,BUR,FWD,5.5,Available,1359,62,2,2.2,1.0
Pope,BUR,GKP,5.5,Available,2880,144,20,4.5,5.7
Taylor,BUR,DEF,4.5,Available,2425,83,5,2.9,1.1
Norris,BUR,GKP,4.5,Available,180,3,0,1.5,0.2
Brownhill,BUR,MID,4.5,Available,2812,74,0,2.2,3.0
Benson,BUR,MID,4.5,Available,260,10,0,1.7,0.1
Peacock-Farrell,BUR,GKP,4.5,NotAvail,360,3,0,0.8,0.2
McNeil,BUR,MID,6.0,Available,3068,113,8,3.1,0.3
Collins,BUR,DEF,4.5,Available,0,0,0,0.0,0.1
Hennessey,BUR,GKP,4.5,Available,0,0,0,0.0,0.1
Azpilicueta,CHE,DEF,6.0,Available,2187,113,12,4.3,3.5
Giroud,CHE,FWD,6.5,NotAvail,740,47,6,2.8,0.3
Thiago Silva,CHE,DEF,5.5,Available,1935,92,10,4.0,3.2
Alonso,CHE,DEF,5.5,Available,958,57,5,4.4,1.3
Jorginho,CHE,MID,6.0,Available,2006,114,15,4.1,3.4
Barkley,CHE,MID,5.5,Available,1566,76,4,2.9,0.2
Kovacic,CHE,MID,5.0,Available,1809,54,0,2.0,0.2
Batshuayi,CHE,FWD,5.5,Available,717,41,2,2.3,0.2
Rüdiger,CHE,DEF,5.5,Available,1710,93,9,4.9,6.2
Zouma,CHE,DEF,5.5,Available,2027,108,6,4.5,1.8
Arrizabalaga,CHE,GKP,5.0,Available,585,26,5,3.7,0.4
Kanté,CHE,MID,5.0,Available,2140,62,0,2.1,4.3
Ziyech,CHE,MID,7.5,Available,1164,70,8,3.0,0.7
Loftus-Cheek,CHE,MID,5.5,Available,1962,66,0,2.1,0.1
Christensen,CHE,DEF,5.0,Available,1371,61,9,3.6,1.1
Werner,CHE,FWD,9.0,Available,2598,128,7,3.7,6.3
Chilwell,CHE,DEF,6.0,Available,2286,139,11,5.1,13.3
Abraham,CHE,FWD,6.5,Available,1031,69,8,3.1,1.0
Pulisic,CHE,MID,8.0,Available,1731,82,3,3.0,1.4
Mount,CHE,MID,7.5,Available,2887,147,16,4.1,20.4
Ampadu,CHE,DEF,4.5,Available,2087,44,4,1.8,0.2
Hudson-Odoi,CHE,MID,5.5,Available,1050,59,2,2.6,0.2
Havertz,CHE,MID,8.5,Available,1512,91,3,3.4,11.1
James,CHE,DEF,5.5,Available,2367,112,15,3.5,9.3
Mendy,CHE,GKP,6.0,Available,2745,140,8,4.5,8.7
Gallagher,CHE,MID,5.5,Available,2530,71,3,2.4,0.1
Guaita,CRY,GKP,4.5,Available,3330,124,15,3.4,6.0
Tomkins,CRY,DEF,4.5,Available,551,18,2,2.2,0.2
McArthur,CRY,MID,4.5,Available,1465,45,3,2.5,0.2
Benteke,CRY,FWD,6.5,Available,1808,106,14,3.5,1.2
Kouyaté,CRY,DEF,4.5,Available,3121,82,2,2.3,0.4
Kelly,CRY,DEF,4.0,Available,1,1,0,1.0,1.6
Milivojevic,CRY,MID,5.5,Available,2357,63,3,2.0,0.2
Ayew,CRY,FWD,6.0,Available,2086,70,2,2.1,0.6
Zaha,CRY,MID,7.0,Available,2612,136,11,4.5,6.5
Schlupp,CRY,MID,5.5,Available,1415,65,3,2.4,0.1
Butland,CRY,GKP,4.5,Available,90,2,0,2.0,0.5
Riedewald,CRY,MID,5.0,Available,1810,64,4,1.9,0.1
Jach,CRY,DEF,4.5,Available,0,0,0,0.0,0.1
Mateta,CRY,FWD,5.5,Available,215,15,2,2.1,0.1
Eze,CRY,MID,6.0,Injured,2555,125,17,3.7,0.1
Ferguson,CRY,DEF,4.5,Injured,0,0,0,0.0,0.0
Mitchell,CRY,DEF,4.5,Available,1710,58,5,3.1,1.3
